userName,score,content,publishTime,replyCount,usefulCount,touristType,ipLocatedName,content_cleaned,publish_datetime,date,month,weekday,hour,season,content_length,score_level,high_useful,情感得分,情感类别,风景_得分,服务_得分,餐饮_得分,住宿_得分,交通_得分,综合维度分,主要维度
M9***40,5.0,踏入桃花园，仿佛置身梦幻仙境。漫山遍野的桃花竞相绽放，粉粉嫩嫩，如云似霞，微风拂过，花瓣飘落，宛如花雨。园内亭台楼阁、小桥流水点缀其间，与桃花相互映衬，美如画卷。在这里，既能欣赏到自然美景带来的视觉盛宴，又能感受到浓厚的文化氛围，让人忘却一切烦恼，沉醉在这如诗如画的桃源世界里，流连忘返，实在是一处不可多得的人间胜境。,1744712386000,0,1,家庭亲子,广东,踏入桃花园，仿佛置身梦幻仙境。漫山遍野的桃花竞相绽放，粉粉嫩嫩，如云似霞，微风拂过，花瓣飘落，宛如花雨。园内亭台楼阁、小桥流水点缀其间，与桃花相互映衬，美如画卷。在这里，既能欣赏到自然美景带来的视觉盛宴，又能感受到浓厚的文化氛围，让人忘却一切烦恼，沉醉在这如诗如画的桃源世界里，流连忘返，实在是一处不可多得的人间胜境。,2025-04-15 18:19:46,2025-04-15,4,1,18,春季,159,高,True,0.9999999999999998,正面,1.0,0.0,0.0,0.0,0.0,0.2,风景
YoYo_2N1G3I5R,5.0,"桃花源主要重现了陶渊明《桃花源记》中“世外桃源”的隐逸意境，景区核心景点是“桃花山”、“桃源山”、“五柳湖”两山一湖，外围景点还有秦溪游船。
景区内山清水秀，绿树成荫，湖岸边青翠杨柳下点缀着桃花朵朵，令人仿佛置身世外桃源。也有很多的古建筑，石刻、楹联及隐逸文化遗迹。特别推荐桃源山的水府阁，登山可俯瞰沅江八卦图与“渔村夕照”古潇湘八景之一，令人心旷神怡。
全程步行，从南门出发，逆时针环湖走，先游桃花山，再游桃源山，最后返回南门出口。总用时不到3小时，仅供参考。",1746607924000,0,0,单独旅行,湖南,桃花源主要重现了陶渊明桃花源记中世外桃源的隐逸意境，景区核心景点是桃花山、桃源山、五柳湖两山一湖，外围景点还有秦溪游船。 景区内山清水秀，绿树成荫，湖岸边青翠杨柳下点缀着桃花朵朵，令人仿佛置身世外桃源。也有很多的古建筑，石刻、楹联及隐逸文化遗迹。特别推荐桃源山的水府阁，登山可俯瞰沅江八卦图与渔村夕照古潇湘八景之一，令人心旷神怡。 全程步行，从南门出发，逆时针环湖走，先游桃花山，再游桃源山，最后返回南门出口。总用时不到3小时，仅供参考。,2025-05-07 16:52:04,2025-05-07,5,2,16,春季,219,高,False,1.0,正面,1.0,0.0,0.0,0.0,0.0,0.2,风景
YoYo_6A1H1V1S,5.0,桃花源记实景演出，乘坐游船顺流而下，全程1个小时左右，两岸演绎着桃花源居民的生活日常，打渔放牧，山歌对舞，还有精彩的迎亲婚礼，仿佛真的误入桃源，门票需要提前预定选择游船座位，值得一看,1754402019000,0,0,家庭亲子,湖南,桃花源记实景演出，乘坐游船顺流而下，全程1个小时左右，两岸演绎着桃花源居民的生活日常，打渔放牧，山歌对舞，还有精彩的迎亲婚礼，仿佛真的误入桃源，门票需要提前预定选择游船座位，值得一看,2025-08-05 21:53:39,2025-08-05,8,1,21,夏季,91,高,False,0.9999898335024403,正面,1.0,0.0,0.0,0.0,0.3333333333333333,0.26666666666666666,风景
YoYo_3W3S3W8U,5.0,早上八点四十分从五柳小镇坐1号车到了桃花源景区游客中心，在这坐3号线，到了秦溪。早上人少，直接包船了。两岸好看。,1774853129000,0,1,情侣夫妻,湖南,早上八点四十分从五柳小镇坐1号车到了桃花源景区游客中心，在这坐3号线，到了秦溪。早上人少，直接包船了。两岸好看。,2026-03-30 14:45:29,2026-03-30,3,0,14,春季,56,高,True,0.9502539301986179,正面,1.0,0.0,0.0,0.0,0.3333333333333333,0.26666666666666666,风景
hadrianus,5.0,景区交通便利，下高速很快就到了，停车场很大停车方便。虽然桃花还没有开，景区景色非常漂亮，团队玩的都很开心，大家走走聊聊，吹吹风。风和日丽的天气，完美的出游！,1743254509000,0,1,朋友出游,湖北,景区交通便利，下高速很快就到了，停车场很大停车方便。虽然桃花还没有开，景区景色非常漂亮，团队玩的都很开心，大家走走聊聊，吹吹风。风和日丽的天气，完美的出游！,2025-03-29 21:21:49,2025-03-29,3,5,21,春季,78,高,True,0.9999548609435492,正面,1.0,0.0,0.0,0.0,1.0,0.4,风景
YoYo_7M8U5W8I,5.0,"&quot;桃花源•周末亲子游😎
    交通：自驾👇🏻
    景区内交通：观光车、游船
主要行程：五柳小镇—泛舟秦溪—秦谷—秦街
  自驾到桃花源景区，门口有一个很大的停车场，非常方便。下了车，就开始我们的桃花源之旅啦！进到景区，我们先去五柳小镇，参观桃花源历史文化体验馆和擂茶文化体验馆，擂茶是当地特色茶，一定要去品尝一下。在五柳小镇就有一个秦溪游船中心，于是我们决定乘船游秦溪，小孩坐船很兴奋，欣赏着沿岸的风景，顺便可以休息一下~听说秦溪就是武陵渔郎进入桃花源的必经之路，溪水中还有几座小岛，真的太美了。下船就到了秦谷，去打卡桃花源八景之洗心烟雨、桃坞人家。成片的树木、连绵的山，山脚“屋舍俨然，阡陌交通”，让小孩体验一下过去的生活，回归农耕田园生活，真的像世外桃源一般。再绕到秦街——现代与传统的结合，建筑很有历史特色，沿街的商铺品类多样，有美食店可以补充能量，还能买特产带回去。一整天下来，也不算很累，但还是要走挺多路的，就当运动健身好了。即使没有去玩机动游戏项目，小孩还是很兴奋，看到很多以前只在书本上的东西。下次争取再来住一晚☺️。
&quot;",1608519983000,0,67,,,quot桃花源周末亲子游 交通：自驾 景区内交通：观光车、游船 主要行程：五柳小镇泛舟秦溪秦谷秦街 自驾到桃花源景区，门口有一个很大的停车场，非常方便。下了车，就开始我们的桃花源之旅啦！进到景区，我们先去五柳小镇，参观桃花源历史文化体验馆和擂茶文化体验馆，擂茶是当地特色茶，一定要去品尝一下。在五柳小镇就有一个秦溪游船中心，于是我们决定乘船游秦溪，小孩坐船很兴奋，欣赏着沿岸的风景，顺便可以休息一下听说秦溪就是武陵渔郎进入桃花源的必经之路，溪水中还有几座小岛，真的太美了。下船就到了秦谷，去打卡桃花源八景之洗心烟雨、桃坞人家。成片的树木、连绵的山，山脚屋舍俨然，阡陌交通，让小孩体验一下过去的生活，回归农耕田园生活，真的像世外桃源一般。再绕到秦街现代与传统的结合，建筑很有历史特色，沿街的商铺品类多样，有美食店可以补充能量，还能买特产带回去。一整天下来，也不算很累，但还是要走挺多路的，就当运动健身好了。即使没有去玩机动游戏项目，小孩还是很兴奋，看到很多以前只在书本上的东西。下次争取再来住一晚。 quot,2020-12-21 11:06:23,2020-12-21,12,0,11,冬季,453,高,True,1.0,正面,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.6,风景
YoYo_4E2P5V1R,5.0,"&quot;常德桃花源 i 你一定要做的6件小事😎
常德旅游 桃花源攻略 👇🏻
陶渊明最爱的桃花源，若想感受，最最推荐常德桃花源。
1、去桃花源，一定要穿一次旗袍或者汉服，感受陶渊明的脚步。
2、去桃花源，一定去洗心池坐一次乌篷船，享受春风拂面。（可能冬天会有点点冷哈）。
3、去桃花源，一定要去看一次当地特色表演---桃花源记实景演出，重现千百年前世人魂牵梦萦的绝世场面。
4、去桃花源，一定要品尝擂茶和压桌，满满当当一桌子的菜，比自家过年时还要丰盛。
5、去桃花源，一定要去秦谷感受一次“秦人婚礼”，收获满满的感动与喜庆。
6、去桃花源，一定要去看看“百床馆”，这里收集了100张不同时期的精美古木床。
去桃花源你一定要知道的6件小事！每一件都很有画面感！快收藏起来慢慢打卡吧&quot;",1609376581000,0,77,,,quot常德桃花源 i 你一定要做的6件小事 常德旅游 桃花源攻略  陶渊明最爱的桃花源，若想感受，最最推荐常德桃花源。 1、去桃花源，一定要穿一次旗袍或者汉服，感受陶渊明的脚步。 2、去桃花源，一定去洗心池坐一次乌篷船，享受春风拂面。（可能冬天会有点点冷哈）。 3、去桃花源，一定要去看一次当地特色表演桃花源记实景演出，重现千百年前世人魂牵梦萦的绝世场面。 4、去桃花源，一定要品尝擂茶和压桌，满满当当一桌子的菜，比自家过年时还要丰盛。 5、去桃花源，一定要去秦谷感受一次秦人婚礼，收获满满的感动与喜庆。 6、去桃花源，一定要去看看百床馆，这里收集了100张不同时期的精美古木床。 去桃花源你一定要知道的6件小事！每一件都很有画面感！快收藏起来慢慢打卡吧quot,2020-12-31 09:03:01,2020-12-31,12,3,9,冬季,332,高,True,0.9999999999999996,正面,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.39999999999999997,风景
YoYo_4V3V2X9U,5.0,值得到处看看！值得到处走走！人不算多，但也还算是有不少人，最重要的是，我买到了文创产品，哈哈！以陶渊明的桃花源记为宣传，但实际上进入景区与我的想象完全不同，我认为至少要以桃花源记为蓝本而打造的景区，结果完全不是。倒是晚上的溪流夜游给了我惊喜，虽然游船票价格略贵，但是值得一游。,1746441837000,0,0,家庭亲子,湖北,值得到处看看！值得到处走走！人不算多，但也还算是有不少人，最重要的是，我买到了文创产品，哈哈！以陶渊明的桃花源记为宣传，但实际上进入景区与我的想象完全不同，我认为至少要以桃花源记为蓝本而打造的景区，结果完全不是。倒是晚上的溪流夜游给了我惊喜，虽然游船票价格略贵，但是值得一游。,2025-05-05 18:43:57,2025-05-05,5,0,18,春季,138,高,False,0.9999704155197322,正面,1.0,0.0,0.3333333333333333,0.0,0.0,0.26666666666666666,风景
霖霖爸LLB,5.0,陶渊明笔下的桃花源，现实版绿野仙踪，人间仙境美如画，阡陌交通，鸡犬相闻。其中往来种作，男女衣着，悉如外人，果然名不虚传，只可惜景区太大，时间关系没能玩尽兴，期待下次再来！,1781271870000,0,0,情侣夫妻,湖南,陶渊明笔下的桃花源，现实版绿野仙踪，人间仙境美如画，阡陌交通，鸡犬相闻。其中往来种作，男女衣着，悉如外人，果然名不虚传，只可惜景区太大，时间关系没能玩尽兴，期待下次再来！,2026-06-12 21:44:30,2026-06-12,6,4,21,夏季,85,高,False,0.9999999993979332,正面,1.0,0.0,0.0,0.0,0.3333333333333333,0.26666666666666666,风景
匿名用户,5.0,经典名篇的具象画展现风景还是非常的宜人，特别是在这春光明媚的日子推荐去转转。景点不算特别大适合徒步旅行，里面还有不少可以参与的互动环节。,1743084981000,0,0,情侣夫妻,北京,经典名篇的具象画展现风景还是非常的宜人，特别是在这春光明媚的日子推荐去转转。景点不算特别大适合徒步旅行，里面还有不少可以参与的互动环节。,2025-03-27 22:16:21,2025-03-27,3,3,22,春季,68,高,False,0.9999584616728782,正面,0.6666666666666666,0.0,0.0,0.0,0.0,0.13333333333333333,风景
YoYo_1K1L2R4G,5.0,🉑以ᥬ😎᭄趁着假期来桃花源转转，人不算多，不会有人挤人的感觉，比较悠闲，景区特别大，大部分景点之间都有免费接驳车，但桃花山上车是没办法开上去的，只能步行，景区内除了一些景点还有很多趣味体验活动，可以带着小孩一起学酿酒做木雕，也算是很难得的体验了。接驳站也都有饮料零食卖，不用担心娃在路上饿肚子，桃花源生活馆里也有很多亲子动手操作的东西，像是在油纸伞或者傩戏面具上画画，做好之后还能带回家留作纪念，特别有意义。,1605006111000,0,61,,,以趁着假期来桃花源转转，人不算多，不会有人挤人的感觉，比较悠闲，景区特别大，大部分景点之间都有免费接驳车，但桃花山上车是没办法开上去的，只能步行，景区内除了一些景点还有很多趣味体验活动，可以带着小孩一起学酿酒做木雕，也算是很难得的体验了。接驳站也都有饮料零食卖，不用担心娃在路上饿肚子，桃花源生活馆里也有很多亲子动手操作的东西，像是在油纸伞或者傩戏面具上画画，做好之后还能带回家留作纪念，特别有意义。,2020-11-10 19:01:51,2020-11-10,11,1,19,秋季,200,高,True,0.9999999990103448,正面,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,风景
YoYo_5Y6A4L8T,5.0,人间仙境桃花源，风景特别优美，大自然的鬼斧神工，桃花瓣在风的吹拂下在空中飞舞、落英缤纷，这里有五种不同的柳树，所以叫做五柳镇，湖水在阳光的照耀下，闪闪发光，波光粼粼；岸边有各种各样的渔具：有用鱼竿钓鱼的、有坐在椅子上垂钓的、有超大的鱼网钓鱼的；湖面上有各种各样的小船：有载满鲜花的花船、有船檐上铺满稻草的草船、还有挂满灯笼的灯笼船。如果有幸遇上晚上的演出，那就太完美了，期待下次能够再来看看晚上的演出。,1746435234000,0,0,朋友出游,湖南,人间仙境桃花源，风景特别优美，大自然的鬼斧神工，桃花瓣在风的吹拂下在空中飞舞、落英缤纷，这里有五种不同的柳树，所以叫做五柳镇，湖水在阳光的照耀下，闪闪发光，波光粼粼；岸边有各种各样的渔具：有用鱼竿钓鱼的、有坐在椅子上垂钓的、有超大的鱼网钓鱼的；湖面上有各种各样的小船：有载满鲜花的花船、有船檐上铺满稻草的草船、还有挂满灯笼的灯笼船。如果有幸遇上晚上的演出，那就太完美了，期待下次能够再来看看晚上的演出。,2025-05-05 16:53:54,2025-05-05,5,0,16,春季,201,高,False,0.999999947144517,正面,1.0,0.0,0.0,0.0,0.0,0.2,风景
YoYo_5Y4L5O1J,5.0,桃花源古镇大概是整个景区人文与自然最深度交融之地了吧！这里拥有众多的自然景观资源和历史文化遗存。这里是乡村田园、山水美景、人文意境相互融合的产物，同时也是农耕文化与现代生态文明相互交融的结晶。来到这里，仿佛回到秦汉时期的农耕生活，但又因为来自现代生活，休闲旅游体验之感特别强烈！,1616906295000,0,3,,,桃花源古镇大概是整个景区人文与自然最深度交融之地了吧！这里拥有众多的自然景观资源和历史文化遗存。这里是乡村田园、山水美景、人文意境相互融合的产物，同时也是农耕文化与现代生态文明相互交融的结晶。来到这里，仿佛回到秦汉时期的农耕生活，但又因为来自现代生活，休闲旅游体验之感特别强烈！,2021-03-28 12:38:15,2021-03-28,3,6,12,春季,139,高,True,1.0,正面,1.0,0.0,0.0,0.0,0.0,0.2,风景
YoYo_2X2K8O5V,5.0,交通很方便，自己开车来的。跟着景区推荐的路线逛，里面的建筑都古色古香，很有历史韵味。如果碰上适合的季节，还能去采摘蔬菜水果，真是回归田园。自然风景跟不用说了，万亩桃花很好看，很适合拍照！景区很大，可以玩一整天。景区里也有电瓶车，还有免费的公交，玩起来不会很累。里面也有很多饭店、食坊，不用担心没东西吃。一定要试一试当地特色擂茶。,1608337476000,1,16,,,交通很方便，自己开车来的。跟着景区推荐的路线逛，里面的建筑都古色古香，很有历史韵味。如果碰上适合的季节，还能去采摘蔬菜水果，真是回归田园。自然风景跟不用说了，万亩桃花很好看，很适合拍照！景区很大，可以玩一整天。景区里也有电瓶车，还有免费的公交，玩起来不会很累。里面也有很多饭店、食坊，不用担心没东西吃。一定要试一试当地特色擂茶。,2020-12-19 08:24:36,2020-12-19,12,5,8,冬季,164,高,True,0.9999999999999993,正面,1.0,0.0,1.0,0.0,1.0,0.6,风景
YoYo_3T5V4E6D,5.0,周末来这桃花源景区爬爬山，呼吸一下新鲜空气，非常的舒服和休闲呀~这个景区真的非常的大，首先主游客中心的前的停车场就非常非常的大，听导游说，还不止这个停车场呢！在朱游客中心附近的桃花源古镇是一个有吃的东西比较多的小镇，建筑风格都非常的有特色，里面还可以找到擂茶、常德米粉等特色小吃吃，挺舒服的~然后我们要回到主游客中心搭乘接驳车进入景区~虽然景区很大，但是交通服务还是很完善的，贴心！,1616852306000,0,16,,,周末来这桃花源景区爬爬山，呼吸一下新鲜空气，非常的舒服和休闲呀这个景区真的非常的大，首先主游客中心的前的停车场就非常非常的大，听导游说，还不止这个停车场呢！在朱游客中心附近的桃花源古镇是一个有吃的东西比较多的小镇，建筑风格都非常的有特色，里面还可以找到擂茶、常德米粉等特色小吃吃，挺舒服的然后我们要回到主游客中心搭乘接驳车进入景区虽然景区很大，但是交通服务还是很完善的，贴心！,2021-03-27 21:38:26,2021-03-27,3,5,21,春季,188,高,True,0.9999999669994226,正面,1.0,0.6666666666666666,1.0,0.0,1.0,0.7333333333333333,风景
匿名用户,4.0,生态与环境都很好！只是座秦溪游船的时候，11号船工为了早下班居然强行骗我们大家没有到规定的终点码头，中途就原路返回了原出发码头，害得我们排了那么久时间的队！真是太不负责任啦！可恶！,1743861713000,0,0,其他出游,湖南,生态与环境都很好！只是座秦溪游船的时候，11号船工为了早下班居然强行骗我们大家没有到规定的终点码头，中途就原路返回了原出发码头，害得我们排了那么久时间的队！真是太不负责任啦！可恶！,2025-04-05 22:01:53,2025-04-05,4,5,22,春季,90,高,False,0.0010066108513517857,负面,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2,风景
